"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
1,"a","c",8940,NA,NA,1,9,2011,"Jan,Apr,Jul,Oct"
2,"d","a",2110,11,1995,1,40,2014,"Jan,Apr,Jul,Oct"
3,"b","a",1870,10,2011,0,NA,NA,""
4,"d","c",7170,8,2014,1,5,2013,"Feb,May,Aug,Nov"
5,"d","a",8650,7,2013,1,10,2014,"Jan,Apr,Jul,Oct"
6,"a","c",5460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
7,"d","a",18610,NA,NA,0,NA,NA,""
8,"a","c",1070,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
9,"a","a",20640,9,2007,0,NA,NA,""
10,"d","c",12870,10,2008,0,NA,NA,""
11,"c","a",200,7,1998,1,1,2012,"Jan,Apr,Jul,Oct"
12,"a","a",140,9,2005,0,NA,NA,""
13,"d","c",1860,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
14,"a","a",650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
15,"d","c",1150,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
16,"a","a",200,NA,NA,0,NA,NA,""
17,"d","a",450,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
18,"a","a",36410,4,2008,0,NA,NA,""
19,"d","c",21810,9,2012,0,NA,NA,""
20,"d","c",1920,4,2005,0,NA,NA,""
21,"a","a",7680,3,2006,0,NA,NA,""
22,"d","c",8400,4,2012,1,5,2013,"Feb,May,Aug,Nov"
23,"d","a",10170,11,2001,0,NA,NA,""
24,"d","a",1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
25,"a","c",360,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
26,"d","c",32330,3,2014,0,NA,NA,""
27,"c","c",490,5,2007,1,13,2010,"Jan,Apr,Jul,Oct"
28,"a","a",1890,NA,NA,0,NA,NA,""
29,"a","c",9260,2,2010,0,NA,NA,""
30,"a","a",40,8,2001,0,NA,NA,""
31,"a","a",18660,9,2002,0,NA,NA,""
32,"a","a",1070,9,2009,0,NA,NA,""
33,"a","a",20390,NA,NA,0,NA,NA,""
34,"a","c",350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
35,"a","c",NA,NA,NA,0,NA,NA,""
36,"c","c",45740,8,2008,0,NA,NA,""
37,"a","a",4580,NA,NA,1,14,2015,"Jan,Apr,Jul,Oct"
38,"a","c",100,6,2010,1,18,2010,"Feb,May,Aug,Nov"
39,"a","a",2090,12,2008,0,NA,NA,""
40,"a","c",1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
41,"a","a",2290,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
42,"c","a",900,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
43,"a","a",4180,NA,NA,0,NA,NA,""
44,"a","c",120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
45,"a","c",720,10,2014,0,NA,NA,""
46,"a","c",4030,NA,NA,0,NA,NA,""
47,"d","c",1860,5,2015,0,NA,NA,""
48,"a","a",180,11,2006,0,NA,NA,""
49,"a","a",40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
50,"a","a",250,9,2009,0,NA,NA,""
51,"d","c",8540,NA,NA,0,NA,NA,""
52,"a","a",70,NA,NA,0,NA,NA,""
53,"a","a",3350,2,2010,0,NA,NA,""
54,"c","c",4840,NA,NA,0,NA,NA,""
55,"c","a",1080,12,2012,0,NA,NA,""
56,"a","a",800,6,2007,0,NA,NA,""
57,"d","a",510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
58,"a","a",2640,12,2005,1,31,2013,"Feb,May,Aug,Nov"
59,"a","c",9630,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
60,"a","a",1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
61,"a","c",5080,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
62,"d","c",13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
63,"a","c",350,11,2006,0,NA,NA,""
64,"a","a",5360,9,2012,1,40,2011,"Jan,Apr,Jul,Oct"
65,"d","c",6360,NA,NA,1,40,2012,"Mar,Jun,Sept,Dec"
66,"d","a",8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct"
67,"d","a",260,2,2012,1,14,2011,"Jan,Apr,Jul,Oct"
68,"a","c",1650,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
69,"a","c",90,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
70,"d","c",6910,4,2005,0,NA,NA,""
71,"c","c",4490,5,2014,1,5,2013,"Feb,May,Aug,Nov"
72,"b","c",1210,NA,NA,0,NA,NA,""
73,"d","a",3200,1,2008,1,22,2011,"Jan,Apr,Jul,Oct"
74,"a","a",50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
75,"a","c",13620,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
76,"d","c",1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
77,"a","c",1590,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
78,"a","a",4870,9,2007,1,45,2009,"Jan,Apr,Jul,Oct"
79,"a","a",2170,11,2008,0,NA,NA,""
80,"a","a",1060,5,2009,1,27,2011,"Feb,May,Aug,Nov"
81,"a","a",8460,11,1994,0,NA,NA,""
82,"a","c",9200,10,2009,1,14,2012,"Jan,Apr,Jul,Oct"
83,"a","a",2030,9,2012,1,18,2011,"Feb,May,Aug,Nov"
84,"d","c",16350,7,2005,1,31,2013,"Jan,Apr,Jul,Oct"
85,"d","c",2780,6,2015,0,NA,NA,""
86,"c","a",60,4,2006,0,NA,NA,""
87,"c","a",240,4,2015,1,13,2010,"Jan,Apr,Jul,Oct"
88,"d","c",11120,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
89,"a","a",350,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
90,"a","a",280,NA,NA,0,NA,NA,""
91,"a","c",2270,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
92,"a","a",1100,6,2015,0,NA,NA,""
93,"c","a",2870,7,2015,1,13,2010,"Jan,Apr,Jul,Oct"
94,"d","a",18610,11,2002,1,48,2011,"Mar,Jun,Sept,Dec"
95,"a","a",140,4,2008,0,NA,NA,""
96,"d","c",14620,NA,NA,0,NA,NA,""
97,"a","a",3450,9,2011,0,NA,NA,""
98,"a","c",3860,9,2014,1,23,2015,"Mar,Jun,Sept,Dec"
99,"a","c",8480,NA,NA,0,NA,NA,""
100,"d","c",9430,NA,NA,0,NA,NA,""
101,"d","c",6890,NA,NA,1,48,2011,"Mar,Jun,Sept,Dec"
102,"d","a",2300,NA,NA,0,NA,NA,""
103,"a","c",250,NA,NA,0,NA,NA,""
104,"a","a",3370,12,2008,1,40,2014,"Jan,Apr,Jul,Oct"
105,"c","c",380,5,2008,1,10,2014,"Mar,Jun,Sept,Dec"
106,"a","a",1080,5,2011,0,NA,NA,""
107,"a","c",960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
108,"a","a",540,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
109,"a","a",1630,9,2009,0,NA,NA,""
110,"d","c",10600,7,2005,1,45,2014,"Feb,May,Aug,Nov"
111,"a","a",1390,8,2013,0,NA,NA,""
112,"d","a",17110,3,2007,1,5,2010,"Jan,Apr,Jul,Oct"
113,"a","a",2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct"
114,"a","c",7860,5,2005,0,NA,NA,""
115,"d","c",680,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
116,"a","a",3160,9,2009,0,NA,NA,""
117,"c","a",4510,NA,NA,1,48,2011,"Mar,Jun,Sept,Dec"
118,"d","a",NA,NA,NA,0,NA,NA,""
119,"d","c",1460,NA,NA,0,NA,NA,""
120,"a","a",140,3,2006,0,NA,NA,""
121,"d","a",7910,NA,NA,0,NA,NA,""
122,"a","a",660,1,2007,0,NA,NA,""
123,"a","c",14300,3,2011,0,NA,NA,""
124,"d","c",6620,3,2012,1,10,2014,"Mar,Jun,Sept,Dec"
125,"d","c",810,NA,NA,1,48,2012,"Jan,Apr,Jul,Oct"
126,"d","a",10180,5,2015,0,NA,NA,""
127,"a","a",340,4,2007,1,13,2010,"Jan,Apr,Jul,Oct"
128,"a","c",4570,NA,NA,0,NA,NA,""
129,"a","c",1510,9,2013,0,NA,NA,""
130,"a","a",870,3,2006,0,NA,NA,""
131,"a","c",30030,11,2010,0,NA,NA,""
132,"d","c",2640,9,2012,0,NA,NA,""
133,"c","c",1490,4,2009,0,NA,NA,""
134,"d","c",2770,3,2008,1,40,2014,"Jan,Apr,Jul,Oct"
135,"d","a",2380,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
136,"d","c",6540,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
137,"a","c",18710,4,2015,0,NA,NA,""
138,"a","a",3440,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
139,"a","a",390,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
140,"c","a",40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
141,"c","a",210,NA,NA,1,36,2013,"Mar,Jun,Sept,Dec"
142,"c","c",2510,8,2009,1,1,2012,"Jan,Apr,Jul,Oct"
143,"a","a",620,9,2014,0,NA,NA,""
144,"d","a",4400,NA,NA,0,NA,NA,""
145,"a","a",1590,3,2006,0,NA,NA,""
146,"c","c",10450,6,2009,0,NA,NA,""
147,"a","a",18160,NA,NA,0,NA,NA,""
148,"a","c",4700,9,2002,1,31,2013,"Feb,May,Aug,Nov"
149,"a","a",990,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
150,"a","c",2030,8,2000,0,NA,NA,""
151,"a","c",9990,NA,NA,0,NA,NA,""
152,"c","c",31830,3,2010,0,NA,NA,""
153,"c","c",530,4,2005,1,35,2010,"Mar,Jun,Sept,Dec"
154,"d","c",1940,3,2012,0,NA,NA,""
155,"a","c",490,9,2012,1,18,2011,"Feb,May,Aug,Nov"
156,"c","c",620,9,2009,0,NA,NA,""
157,"a","c",2230,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
158,"d","c",4040,8,2008,1,18,2013,"Mar,Jun,Sept,Dec"
159,"d","a",1500,9,2008,1,14,2011,"Jan,Apr,Jul,Oct"
160,"a","a",2300,9,2010,0,NA,NA,""
161,"b","b",860,10,1999,0,NA,NA,""
162,"a","a",27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
163,"d","c",10890,4,2005,0,NA,NA,""
164,"a","c",4150,NA,NA,0,NA,NA,""
165,"a","a",12540,NA,NA,0,NA,NA,""
166,"c","a",3740,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
167,"a","c",33060,3,2010,0,NA,NA,""
168,"a","a",1340,9,2006,0,NA,NA,""
169,"a","a",1070,12,2006,1,13,2010,"Jan,Apr,Jul,Oct"
170,"a","c",80,9,2005,1,10,2014,"Mar,Jun,Sept,Dec"
171,"a","c",2290,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
172,"a","c",1310,NA,NA,0,NA,NA,""
173,"a","a",250,NA,NA,0,NA,NA,""
174,"a","c",4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct"
175,"a","c",1600,4,2009,0,NA,NA,""
176,"a","a",560,12,2010,0,NA,NA,""
177,"d","c",12920,9,2012,0,NA,NA,""
178,"a","a",5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
179,"c","a",1010,9,2012,1,18,2011,"Feb,May,Aug,Nov"
180,"d","c",2170,NA,NA,0,NA,NA,""
181,"d","c",6470,9,2012,0,NA,NA,""
182,"c","c",1540,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
183,"a","a",3570,4,2007,0,NA,NA,""
184,"d","a",6260,11,2009,0,NA,NA,""
185,"a","a",27150,NA,NA,0,NA,NA,""
186,"a","c",12480,3,2011,0,NA,NA,""
187,"a","a",3130,7,2002,0,NA,NA,""
188,"c","c",5980,2,2010,0,NA,NA,""
189,"a","a",630,2,2015,1,31,2013,"Feb,May,Aug,Nov"
190,"a","a",2890,10,2003,0,NA,NA,""
191,"d","c",8980,NA,NA,0,NA,NA,""
192,"a","a",460,11,2014,1,31,2013,"Feb,May,Aug,Nov"
193,"a","c",20,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
194,"d","c",1690,7,2009,1,36,2013,"Mar,Jun,Sept,Dec"
195,"a","a",4140,9,2012,0,NA,NA,""
196,"c","a",4230,12,2014,0,NA,NA,""
197,"a","a",480,NA,NA,0,NA,NA,""
198,"d","a",1710,NA,NA,0,NA,NA,""
199,"d","c",9910,NA,NA,0,NA,NA,""
200,"a","c",250,1,2005,0,NA,NA,""
201,"d","c",9070,12,2003,0,NA,NA,""
202,"c","a",920,7,2015,0,NA,NA,""
203,"a","a",350,12,2012,0,NA,NA,""
204,"c","a",290,9,2006,0,NA,NA,""
205,"c","c",1200,7,2012,1,27,2012,"Jan,Apr,Jul,Oct"
206,"a","a",15270,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct"
207,"d","c",8040,NA,NA,0,NA,NA,""
208,"a","c",350,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
209,"a","a",560,1,2011,0,NA,NA,""
210,"c","c",3890,NA,NA,0,NA,NA,""
211,"a","a",6870,NA,NA,0,NA,NA,""
212,"a","c",1410,10,2013,0,NA,NA,""
213,"a","c",5020,5,2006,1,18,2014,"Feb,May,Aug,Nov"
214,"a","a",6420,4,2011,1,1,2012,"Jan,Apr,Jul,Oct"
215,"a","a",3620,NA,NA,1,40,2013,"Jan,Apr,Jul,Oct"
216,"d","c",580,11,2014,0,NA,NA,""
217,"a","a",40,8,2015,0,NA,NA,""
218,"a","c",120,4,2009,1,1,2012,"Jan,Apr,Jul,Oct"
219,"a","a",220,NA,NA,1,36,2013,"Mar,Jun,Sept,Dec"
220,"d","c",13140,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
221,"d","c",5440,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
222,"d","a",410,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
223,"d","c",1200,11,2007,0,NA,NA,""
224,"d","c",13170,8,2014,1,9,2011,"Mar,Jun,Sept,Dec"
225,"a","a",2100,8,2013,1,14,2011,"Jan,Apr,Jul,Oct"
226,"d","c",6470,12,2004,0,NA,NA,""
227,"d","a",21930,NA,NA,0,NA,NA,""
228,"a","a",310,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
229,"a","a",1060,5,2012,0,NA,NA,""
230,"c","a",2550,10,2005,0,NA,NA,""
231,"d","c",7290,9,2014,0,NA,NA,""
232,"a","a",14810,6,2014,0,NA,NA,""
233,"d","c",5900,NA,NA,0,NA,NA,""
234,"a","a",4300,3,2009,1,27,2013,"Jan,Apr,Jul,Oct"
235,"a","c",8080,NA,NA,0,NA,NA,""
236,"d","c",50,6,2015,0,NA,NA,""
237,"a","a",1150,9,2007,0,NA,NA,""
238,"d","c",17110,11,2005,0,NA,NA,""
239,"d","c",5650,9,2008,1,5,2013,"Feb,May,Aug,Nov"
240,"a","a",690,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
241,"a","a",2260,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
242,"d","a",2930,12,2002,0,NA,NA,""
243,"a","c",460,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
244,"a","c",1610,NA,NA,0,NA,NA,""
245,"c","a",440,4,2002,0,NA,NA,""
246,"d","c",3330,3,2015,1,13,2010,"Jan,Apr,Jul,Oct"
247,"a","c",370,7,2007,1,14,2011,"Jan,Apr,Jul,Oct"
248,"d","c",8240,3,2001,1,10,2013,"Feb,May,Aug,Nov"
249,"d","c",5140,5,2010,0,NA,NA,""
250,"a","a",30,4,2013,0,NA,NA,""
251,"c","a",2240,9,2009,0,NA,NA,""
252,"a","c",6920,9,2011,0,NA,NA,""
253,"c","a",720,10,2004,1,13,2010,"Jan,Apr,Jul,Oct"
254,"a","a",4970,7,2015,0,NA,NA,""
255,"c","a",21770,7,2015,0,NA,NA,""
256,"a","a",2120,NA,NA,0,NA,NA,""
257,"a","a",630,4,2007,0,NA,NA,""
258,"a","a",3560,10,2001,1,31,2013,"Feb,May,Aug,Nov"
259,"d","a",3900,4,2005,1,45,2009,"Feb,May,Aug,Nov"
260,"d","c",1180,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
261,"d","c",2770,NA,NA,0,NA,NA,""
262,"a","a",7240,2,2010,0,NA,NA,""
263,"c","c",1130,6,2015,0,NA,NA,""
264,"a","c",3720,2,2010,0,NA,NA,""
265,"a","a",4450,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
266,"a","a",350,8,1999,1,14,2011,"Jan,Apr,Jul,Oct"
267,"d","a",5190,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
268,"a","a",12770,10,2000,0,NA,NA,""
269,"a","c",170,2,2009,0,NA,NA,""
270,"d","a",2300,NA,NA,0,NA,NA,""
271,"a","c",3110,3,2003,0,NA,NA,""
272,"c","c",3100,5,2010,0,NA,NA,""
273,"a","a",7250,12,2013,0,NA,NA,""
274,"d","c",11260,NA,NA,1,9,2011,"Feb,May,Aug,Nov"
275,"d","c",1680,10,2005,0,NA,NA,""
276,"a","a",770,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
277,"d","c",5350,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct"
278,"a","c",540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
279,"a","a",2070,9,2007,0,NA,NA,""
280,"a","c",130,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
281,"a","a",1930,9,2009,0,NA,NA,""
282,"a","a",2390,9,2012,0,NA,NA,""
283,"a","a",680,4,2013,0,NA,NA,""
284,"a","a",1110,5,2009,0,NA,NA,""
285,"a","c",180,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
286,"c","a",6930,9,2006,0,NA,NA,""
287,"a","a",29910,4,2015,0,NA,NA,""
288,"d","c",1090,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
289,"a","c",9070,4,2011,1,37,2009,"Jan,Apr,Jul,Oct"
290,"b","b",720,3,2002,0,NA,NA,""
291,"a","a",2460,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
292,"a","a",6480,NA,NA,0,NA,NA,""
293,"a","c",2140,8,2012,0,NA,NA,""
294,"a","c",50,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
295,"c","a",2410,NA,NA,1,35,2011,"Jan,Apr,Jul,Oct"
296,"d","c",17540,6,2012,0,NA,NA,""
297,"d","a",9710,2,2014,0,NA,NA,""
298,"a","a",450,NA,NA,0,NA,NA,""
299,"d","c",960,11,2012,1,5,2013,"Feb,May,Aug,Nov"
300,"d","c",1420,11,2012,0,NA,NA,""
301,"d","c",16420,NA,NA,0,NA,NA,""
302,"d","c",3290,12,2014,0,NA,NA,""
303,"a","a",1600,6,2006,1,45,2009,"Feb,May,Aug,Nov"
304,"d","c",250,NA,NA,1,27,2012,"Jan,Apr,Jul,Oct"
305,"d","c",9790,NA,NA,1,31,2009,"Feb,May,Aug,Nov"
306,"a","c",2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
307,"d","a",19840,7,2009,0,NA,NA,""
308,"a","c",75860,NA,NA,0,NA,NA,""
309,"a","a",34050,4,2008,0,NA,NA,""
310,"a","c",6270,2,2005,0,NA,NA,""
311,"a","a",1850,12,2014,1,18,2011,"Feb,May,Aug,Nov"
312,"a","a",1400,6,2012,1,13,2010,"Jan,Apr,Jul,Oct"
313,"a","c",5380,8,2015,1,5,2010,"Feb,May,Aug,Nov"
314,"a","a",18760,8,2015,1,14,2011,"Jan,Apr,Jul,Oct"
315,"c","c",710,9,2005,0,NA,NA,""
316,"a","c",140,NA,NA,0,NA,NA,""
317,"a","a",19370,4,2002,0,NA,NA,""
318,"a","a",480,12,2005,0,NA,NA,""
319,"c","a",2740,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
320,"a","a",2040,6,2007,0,NA,NA,""
321,"a","c",290,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
322,"a","a",4740,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
323,"d","c",9820,NA,NA,0,NA,NA,""
324,"d","a",11400,12,2005,0,NA,NA,""
325,"b","a",400,3,2006,0,NA,NA,""
326,"d","c",22440,12,2013,0,NA,NA,""
327,"d","c",4520,NA,NA,0,NA,NA,""
328,"a","a",26450,NA,NA,0,NA,NA,""
329,"d","a",12700,4,2013,0,NA,NA,""
330,"d","c",18640,9,2013,1,10,2014,"Mar,Jun,Sept,Dec"
331,"b","a",1260,6,2011,0,NA,NA,""
332,"a","c",200,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
333,"b","a",90,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
334,"a","a",15700,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
335,"d","a",1340,NA,NA,0,NA,NA,""
336,"d","a",1120,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
337,"c","c",4630,3,2011,1,35,2011,"Feb,May,Aug,Nov"
338,"a","a",2640,NA,NA,0,NA,NA,""
339,"c","a",470,3,2007,1,1,2012,"Jan,Apr,Jul,Oct"
340,"d","c",6970,9,2011,0,NA,NA,""
341,"a","c",3040,8,2011,1,35,2010,"Mar,Jun,Sept,Dec"
342,"a","a",1200,11,2006,1,40,2014,"Jan,Apr,Jul,Oct"
343,"d","a",2020,7,2014,0,NA,NA,""
344,"a","c",410,2,2006,0,NA,NA,""
345,"a","a",16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct"
346,"a","a",3350,NA,NA,0,NA,NA,""
347,"d","c",570,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
348,"a","a",90,6,2014,0,NA,NA,""
349,"c","c",140,9,2012,0,NA,NA,""
350,"a","c",570,9,2012,1,27,2012,"Mar,Jun,Sept,Dec"
351,"a","a",810,5,2013,0,NA,NA,""
352,"c","c",3530,6,2012,1,35,2012,"Mar,Jun,Sept,Dec"
353,"a","a",2410,NA,NA,0,NA,NA,""
354,"a","c",16490,NA,NA,0,NA,NA,""
355,"a","c",830,NA,NA,1,27,2013,"Jan,Apr,Jul,Oct"
356,"a","a",2050,NA,NA,0,NA,NA,""
357,"d","c",2140,7,2013,0,NA,NA,""
358,"d","c",15770,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
359,"c","a",440,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
360,"d","a",10850,NA,NA,0,NA,NA,""
361,"d","c",6970,12,2005,1,22,2011,"Jan,Apr,Jul,Oct"
362,"a","c",50,NA,NA,0,NA,NA,""
363,"d","a",2530,NA,NA,0,NA,NA,""
364,"d","a",300,5,2014,1,40,2014,"Jan,Apr,Jul,Oct"
365,"a","a",1950,7,2015,0,NA,NA,""
366,"a","a",1250,2,2004,1,5,2013,"Feb,May,Aug,Nov"
367,"a","c",2190,9,2013,0,NA,NA,""
368,"c","a",190,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
369,"d","a",1090,4,2007,0,NA,NA,""
370,"c","a",110,11,2008,0,NA,NA,""
371,"d","c",670,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
372,"a","c",1620,9,2006,0,NA,NA,""
373,"a","c",4650,6,2014,0,NA,NA,""
374,"a","a",1480,4,2009,0,NA,NA,""
375,"a","a",5100,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
376,"c","c",26130,11,2002,0,NA,NA,""
377,"a","c",38710,4,2013,0,NA,NA,""
378,"a","a",290,11,2006,1,5,2013,"Feb,May,Aug,Nov"
379,"a","c",2890,4,2014,0,NA,NA,""
380,"a","a",1780,NA,NA,0,NA,NA,""
381,"d","c",1130,11,2008,0,NA,NA,""
382,"a","a",340,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
