"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
751,"c","a",19640,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
752,"b","b",210,NA,NA,0,NA,NA,""
753,"c","a",3380,4,2013,0,NA,NA,""
754,"d","a",6560,12,2013,0,NA,NA,""
755,"a","c",29190,NA,NA,0,NA,NA,""
756,"c","a",110,NA,NA,0,NA,NA,""
757,"c","c",1390,12,2004,0,NA,NA,""
758,"a","a",2040,11,2008,0,NA,NA,""
759,"d","a",5470,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
760,"d","c",330,NA,NA,1,28,2012,"Jan,Apr,Jul,Oct"
761,"c","a",3490,4,2011,1,22,2012,"Jan,Apr,Jul,Oct"
762,"a","c",70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
763,"d","a",11300,3,2012,0,NA,NA,""
764,"a","a",480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
765,"a","c",7980,6,2005,0,NA,NA,""
766,"d","a",3780,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
767,"c","a",240,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
768,"a","a",260,10,2006,1,31,2013,"Feb,May,Aug,Nov"
769,"d","c",3840,10,2008,1,39,2010,"Feb,May,Aug,Nov"
770,"a","c",2310,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
771,"d","c",7520,7,2014,1,45,2009,"Feb,May,Aug,Nov"
772,"d","a",24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
773,"a","a",3410,8,2011,1,14,2015,"Jan,Apr,Jul,Oct"
774,"c","c",140,11,2007,0,NA,NA,""
775,"d","a",9000,8,2001,0,NA,NA,""
776,"d","a",2380,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
777,"a","a",16680,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
778,"a","a",1690,4,2015,0,NA,NA,""
779,"d","c",6860,NA,NA,1,18,2011,"Jan,Apr,Jul,Oct"
780,"a","a",60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
781,"a","a",1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
782,"a","c",220,NA,NA,0,NA,NA,""
783,"a","a",190,9,2011,0,NA,NA,""
784,"a","a",2220,12,2011,1,14,2015,"Jan,Apr,Jul,Oct"
785,"d","c",5870,4,2014,0,NA,NA,""
786,"a","a",27530,4,2014,0,NA,NA,""
787,"d","c",9910,12,2010,1,9,2011,"Mar,Jun,Sept,Dec"
788,"a","c",23620,11,2013,0,NA,NA,""
789,"a","a",100,NA,NA,0,NA,NA,""
790,"c","a",230,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
791,"a","a",2540,6,2005,0,NA,NA,""
792,"a","c",5950,NA,NA,0,NA,NA,""
793,"a","a",16240,10,2000,1,18,2011,"Feb,May,Aug,Nov"
794,"c","c",8190,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
795,"d","c",440,4,2014,0,NA,NA,""
796,"a","a",1800,11,2006,1,5,2013,"Feb,May,Aug,Nov"
797,"a","a",850,2,2012,1,40,2014,"Jan,Apr,Jul,Oct"
798,"a","a",14960,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
799,"d","c",8050,10,1961,1,48,2012,"Jan,Apr,Jul,Oct"
800,"b","b",590,NA,NA,1,5,2013,"Mar,Jun,Sept,Dec"
801,"d","c",8250,10,2004,1,10,2013,"Mar,Jun,Sept,Dec"
802,"d","a",18670,12,2005,0,NA,NA,""
803,"a","a",1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
804,"d","c",14160,NA,NA,0,NA,NA,""
805,"a","a",1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
806,"a","c",18050,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
807,"a","c",2180,NA,NA,0,NA,NA,""
808,"a","a",3000,2,2010,0,NA,NA,""
809,"a","a",620,10,2014,1,18,2014,"Feb,May,Aug,Nov"
810,"d","c",15140,12,2006,1,1,2012,"Jan,Apr,Jul,Oct"
811,"a","a",2410,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
812,"a","c",3300,11,2010,0,NA,NA,""
813,"d","a",10070,5,2015,1,31,2013,"Feb,May,Aug,Nov"
814,"a","a",3510,11,2006,1,5,2013,"Feb,May,Aug,Nov"
815,"c","c",1910,7,2013,0,NA,NA,""
816,"d","c",12020,7,2009,0,NA,NA,""
817,"a","a",960,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
818,"a","a",560,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
819,"a","c",26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
820,"c","c",2100,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
821,"a","a",90,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
822,"c","a",420,3,2006,0,NA,NA,""
823,"a","c",350,3,2011,1,22,2011,"Feb,May,Aug,Nov"
824,"a","a",2460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
825,"c","a",240,1,2015,0,NA,NA,""
826,"a","c",1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
827,"a","a",19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
828,"a","c",9770,7,2003,0,NA,NA,""
829,"a","a",10690,10,2005,0,NA,NA,""
830,"c","a",1600,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
831,"a","a",7280,9,2012,1,1,2013,"Jan,Apr,Jul,Oct"
832,"a","a",3320,NA,NA,0,NA,NA,""
833,"a","a",1100,6,2009,0,NA,NA,""
834,"d","c",8970,12,2007,1,22,2012,"Feb,May,Aug,Nov"
835,"d","a",190,9,2012,1,40,2012,"Feb,May,Aug,Nov"
836,"a","a",1160,12,2012,0,NA,NA,""
837,"a","a",2720,9,2012,0,NA,NA,""
838,"a","a",250,NA,NA,0,NA,NA,""
839,"d","a",260,NA,NA,1,44,2010,"Feb,May,Aug,Nov"
840,"d","c",2190,9,2003,0,NA,NA,""
841,"a","a",9670,NA,NA,0,NA,NA,""
842,"d","c",6300,10,2013,0,NA,NA,""
843,"d","a",5760,7,2014,0,NA,NA,""
844,"d","a",1560,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
845,"d","a",10310,4,2003,1,37,2009,"Jan,Apr,Jul,Oct"
846,"d","c",2490,11,2012,1,31,2009,"Jan,Apr,Jul,Oct"
847,"d","c",650,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
848,"d","a",8220,4,2014,1,14,2011,"Jan,Apr,Jul,Oct"
849,"a","c",100,4,2015,0,NA,NA,""
850,"d","c",16970,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
851,"c","a",3040,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
852,"a","c",3270,NA,NA,0,NA,NA,""
853,"c","c",1130,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
854,"a","a",12610,3,2013,1,14,2011,"Jan,Apr,Jul,Oct"
855,"a","a",1040,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
856,"d","c",1110,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct"
857,"d","a",490,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
858,"a","a",17650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
859,"a","a",170,7,2013,1,27,2013,"Jan,Apr,Jul,Oct"
860,"a","c",1420,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec"
861,"a","c",24000,4,2013,0,NA,NA,""
862,"a","c",220,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct"
863,"a","c",2700,NA,NA,0,NA,NA,""
864,"d","c",11540,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
865,"c","a",4030,2,2015,0,NA,NA,""
866,"a","a",460,3,2014,1,13,2010,"Jan,Apr,Jul,Oct"
867,"c","a",1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
868,"a","a",1190,11,2012,1,36,2013,"Jan,Apr,Jul,Oct"
869,"a","c",3170,4,2014,0,NA,NA,""
870,"c","a",520,3,2009,0,NA,NA,""
871,"a","c",1710,NA,NA,1,44,2012,"Jan,Apr,Jul,Oct"
872,"a","a",17570,NA,NA,0,NA,NA,""
873,"a","a",16490,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
874,"d","a",970,11,1999,1,5,2013,"Feb,May,Aug,Nov"
875,"a","a",590,1,1900,1,40,2014,"Jan,Apr,Jul,Oct"
876,"a","a",330,NA,NA,0,NA,NA,""
877,"c","c",80,1,2006,1,10,2014,"Jan,Apr,Jul,Oct"
878,"a","a",3770,NA,NA,0,NA,NA,""
879,"a","c",13080,NA,NA,0,NA,NA,""
880,"d","c",24530,7,2013,0,NA,NA,""
881,"d","c",15170,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
882,"b","b",1430,NA,NA,0,NA,NA,""
883,"d","c",22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov"
884,"a","a",2850,7,2014,0,NA,NA,""
885,"d","a",510,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
886,"a","a",13140,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
887,"a","c",2840,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
888,"a","a",190,11,2012,0,NA,NA,""
889,"a","c",160,7,2007,0,NA,NA,""
890,"c","c",3970,3,2010,0,NA,NA,""
891,"c","a",2460,1,2012,0,NA,NA,""
892,"a","a",1840,3,2006,0,NA,NA,""
893,"d","a",2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct"
894,"a","a",16690,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
895,"a","a",310,5,2015,1,40,2014,"Jan,Apr,Jul,Oct"
896,"a","a",970,3,2013,1,31,2013,"Feb,May,Aug,Nov"
897,"a","a",1000,11,2007,0,NA,NA,""
898,"d","a",6630,NA,NA,0,NA,NA,""
899,"d","c",8990,11,2009,1,35,2010,"Mar,Jun,Sept,Dec"
900,"d","c",5980,10,2005,0,NA,NA,""
901,"a","c",3340,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
902,"d","a",2810,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct"
903,"a","a",4150,5,2001,0,NA,NA,""
904,"d","c",2330,NA,NA,1,49,2014,"Mar,Jun,Sept,Dec"
905,"d","a",3370,10,2014,1,18,2011,"Feb,May,Aug,Nov"
906,"d","c",15490,NA,NA,0,NA,NA,""
907,"a","a",210,11,2000,1,36,2013,"Mar,Jun,Sept,Dec"
908,"a","a",27650,8,2004,0,NA,NA,""
909,"a","a",1700,9,2009,0,NA,NA,""
910,"d","c",11900,NA,NA,0,NA,NA,""
911,"d","c",2320,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct"
912,"d","a",14300,NA,NA,0,NA,NA,""
913,"d","c",15140,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
914,"a","c",340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
915,"a","a",1900,6,2014,1,31,2013,"Jan,Apr,Jul,Oct"
916,"a","a",1020,10,2012,1,45,2009,"Feb,May,Aug,Nov"
917,"a","a",4160,NA,NA,0,NA,NA,""
918,"d","c",3290,12,1999,1,35,2010,"Mar,Jun,Sept,Dec"
919,"a","a",70,11,2004,1,14,2011,"Jan,Apr,Jul,Oct"
920,"a","a",30,7,2002,0,NA,NA,""
921,"a","a",700,3,2015,1,10,2014,"Jan,Apr,Jul,Oct"
922,"a","a",1100,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
923,"d","a",1590,3,2012,0,NA,NA,""
924,"d","c",4370,NA,NA,0,NA,NA,""
925,"a","c",840,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct"
926,"d","a",710,3,2012,1,1,2012,"Jan,Apr,Jul,Oct"
927,"a","c",430,NA,NA,0,NA,NA,""
928,"d","c",6210,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
929,"a","a",1370,12,2011,1,40,2014,"Jan,Apr,Jul,Oct"
930,"a","c",2330,NA,NA,0,NA,NA,""
931,"b","a",1270,5,2014,0,NA,NA,""
932,"a","c",60,6,2015,0,NA,NA,""
933,"d","c",4330,2,2011,1,35,2011,"Mar,Jun,Sept,Dec"
934,"a","a",910,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
935,"a","a",220,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
936,"a","c",1280,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
937,"a","a",3750,11,2001,1,35,2010,"Mar,Jun,Sept,Dec"
938,"a","a",3750,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
939,"c","a",4130,NA,NA,0,NA,NA,""
940,"a","a",320,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
941,"d","a",5800,9,2010,0,NA,NA,""
942,"a","c",13840,5,2010,1,1,2012,"Jan,Apr,Jul,Oct"
943,"d","a",3910,11,2006,1,5,2013,"Feb,May,Aug,Nov"
944,"a","a",80,6,2005,0,NA,NA,""
945,"a","c",3560,9,2013,1,36,2013,"Jan,Apr,Jul,Oct"
946,"d","c",1040,NA,NA,1,27,2012,"Jan,Apr,Jul,Oct"
947,"a","a",2640,11,2002,0,NA,NA,""
948,"a","a",270,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
949,"d","a",20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
950,"d","c",5340,3,2012,1,13,2010,"Jan,Apr,Jul,Oct"
951,"b","b",840,NA,NA,1,48,2012,"Jan,Apr,Jul,Oct"
952,"a","c",11680,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
953,"a","a",1160,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
954,"a","a",180,3,2014,0,NA,NA,""
955,"a","c",20390,4,2008,0,NA,NA,""
956,"d","c",1910,4,2009,0,NA,NA,""
957,"d","a",5300,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
958,"d","a",5070,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
959,"a","a",3470,3,2012,0,NA,NA,""
960,"a","a",990,2,2010,0,NA,NA,""
961,"a","a",650,10,2006,0,NA,NA,""
962,"c","c",3210,6,2009,0,NA,NA,""
963,"a","c",58260,4,2013,0,NA,NA,""
964,"a","a",6710,11,2003,1,14,2012,"Jan,Apr,Jul,Oct"
965,"a","a",2020,2,2011,1,14,2011,"Mar,Jun,Sept,Dec"
966,"a","a",440,11,2013,0,NA,NA,""
967,"d","c",520,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
968,"d","c",780,NA,NA,0,NA,NA,""
969,"c","c",2700,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec"
970,"a","a",1890,10,2014,0,NA,NA,""
971,"a","a",600,5,2002,1,1,2012,"Jan,Apr,Jul,Oct"
972,"d","c",12070,10,2005,1,10,2013,"Jan,Apr,Jul,Oct"
973,"d","c",7660,9,2010,0,NA,NA,""
974,"d","c",29070,4,2005,0,NA,NA,""
975,"d","a",2110,3,2006,0,NA,NA,""
976,"a","a",4080,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
977,"c","c",5390,8,2003,1,1,2012,"Jan,Apr,Jul,Oct"
978,"a","a",30,11,2012,0,NA,NA,""
979,"d","c",9360,7,2013,1,22,2012,"Mar,Jun,Sept,Dec"
980,"c","c",5000,NA,NA,0,NA,NA,""
981,"a","c",1530,3,2013,0,NA,NA,""
982,"a","c",8260,NA,NA,0,NA,NA,""
983,"d","c",2000,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
984,"a","c",6250,NA,NA,0,NA,NA,""
985,"a","c",13190,NA,NA,1,45,2013,"Feb,May,Aug,Nov"
986,"a","c",1070,8,2010,0,NA,NA,""
987,"a","c",7180,11,2012,0,NA,NA,""
988,"a","c",2070,2,2008,1,39,2010,"Jan,Apr,Jul,Oct"
989,"a","a",2620,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
990,"a","a",1010,NA,NA,0,NA,NA,""
991,"a","a",3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct"
992,"c","c",1880,4,2006,0,NA,NA,""
993,"d","c",2740,7,2014,1,13,2010,"Jan,Apr,Jul,Oct"
994,"a","c",20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
995,"a","a",2480,7,1990,0,NA,NA,""
996,"a","a",2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct"
997,"a","c",22350,6,2010,0,NA,NA,""
998,"c","c",820,NA,NA,0,NA,NA,""
999,"a","c",4820,9,2013,0,NA,NA,""
1000,"a","c",2970,3,2005,0,NA,NA,""
1001,"a","a",2260,11,2007,0,NA,NA,""
1002,"a","a",90,11,2012,0,NA,NA,""
1003,"a","a",1790,5,2011,0,NA,NA,""
1004,"a","a",2370,NA,NA,0,NA,NA,""
1005,"a","a",14960,NA,NA,0,NA,NA,""
1006,"a","a",2060,9,2009,0,NA,NA,""
1007,"d","c",13130,12,2003,0,NA,NA,""
1008,"a","a",420,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
1009,"a","a",330,11,2007,0,NA,NA,""
1010,"a","c",620,NA,NA,1,1,2014,"Mar,Jun,Sept,Dec"
1011,"d","a",11640,4,2005,1,22,2011,"Jan,Apr,Jul,Oct"
1012,"a","a",90,7,2010,0,NA,NA,""
1013,"a","c",2950,10,2004,0,NA,NA,""
1014,"d","c",3030,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
1015,"d","c",5150,3,2011,1,13,2010,"Jan,Apr,Jul,Oct"
1016,"c","a",3850,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
1017,"c","a",170,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec"
1018,"d","c",2210,11,2011,0,NA,NA,""
1019,"d","c",1100,12,2014,0,NA,NA,""
1020,"a","a",720,11,2009,0,NA,NA,""
1021,"d","a",5070,11,2007,1,18,2015,"Feb,May,Aug,Nov"
1022,"a","a",520,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
1023,"a","c",4510,3,2015,0,NA,NA,""
1024,"c","a",1190,9,2013,0,NA,NA,""
1025,"d","a",1740,6,2014,1,45,2009,"Feb,May,Aug,Nov"
1026,"a","a",720,11,2004,0,NA,NA,""
1027,"a","c",910,NA,NA,1,22,2011,"Feb,May,Aug,Nov"
1028,"d","c",6330,6,2004,1,39,2010,"Jan,Apr,Jul,Oct"
1029,"a","a",20050,4,2002,0,NA,NA,""
1030,"a","c",6690,8,2011,0,NA,NA,""
1031,"d","c",4270,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
1032,"b","b",900,NA,NA,1,14,2013,"Feb,May,Aug,Nov"
1033,"a","a",2890,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
1034,"d","a",9680,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
1035,"a","c",2880,NA,NA,0,NA,NA,""
1036,"c","c",1990,1,2012,0,NA,NA,""
1037,"a","a",2910,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
1038,"d","c",13080,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
1039,"a","c",150,NA,NA,0,NA,NA,""
1040,"a","a",1000,9,2008,0,NA,NA,""
1041,"c","c",1200,NA,NA,0,NA,NA,""
1042,"c","c",5260,9,2012,0,NA,NA,""
1043,"a","a",2820,9,2009,0,NA,NA,""
1044,"d","c",9640,11,2013,0,NA,NA,""
1045,"a","a",230,6,2010,1,18,2010,"Feb,May,Aug,Nov"
1046,"c","a",430,4,2003,0,NA,NA,""
1047,"a","c",6900,NA,NA,1,40,2012,"Mar,Jun,Sept,Dec"
1048,"d","c",1360,8,2005,1,10,2014,"Jan,Apr,Jul,Oct"
1049,"d","c",840,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
1050,"d","c",4680,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
1051,"a","c",9720,8,2013,0,NA,NA,""
1052,"a","c",370,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
1053,"d","a",2590,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
1054,"a","c",26990,12,2013,0,NA,NA,""
1055,"c","a",4210,3,2015,0,NA,NA,""
1056,"a","a",120,NA,NA,1,48,2011,"Mar,Jun,Sept,Dec"
1057,"a","c",25430,5,1999,1,37,2009,"Jan,Apr,Jul,Oct"
1058,"d","c",19960,3,2006,0,NA,NA,""
1059,"c","a",14810,NA,NA,1,14,2011,"Mar,Jun,Sept,Dec"
1060,"a","a",1730,7,2015,1,40,2014,"Jan,Apr,Jul,Oct"
1061,"d","c",6360,12,2010,1,14,2012,"Mar,Jun,Sept,Dec"
1062,"d","c",710,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
1063,"c","a",1270,9,2010,0,NA,NA,""
1064,"a","a",1170,4,2011,1,22,2012,"Feb,May,Aug,Nov"
1065,"a","a",4520,2,2014,0,NA,NA,""
1066,"a","a",4260,7,2008,1,37,2009,"Jan,Apr,Jul,Oct"
1067,"d","c",5740,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
1068,"a","a",3870,4,2008,0,NA,NA,""
1069,"a","a",780,9,2005,1,5,2013,"Feb,May,Aug,Nov"
1070,"d","c",17410,4,2007,1,14,2011,"Jan,Apr,Jul,Oct"
1071,"c","a",4660,4,2013,0,NA,NA,""
1072,"d","c",4360,10,2005,0,NA,NA,""
1073,"c","c",3700,6,2010,1,18,2010,"Feb,May,Aug,Nov"
1074,"a","a",50,NA,NA,0,NA,NA,""
1075,"a","c",19360,NA,NA,0,NA,NA,""
1076,"a","a",3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec"
1077,"c","c",3890,11,2006,1,5,2013,"Feb,May,Aug,Nov"
1078,"c","c",740,NA,NA,1,14,2013,"Mar,Jun,Sept,Dec"
1079,"d","a",13990,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
1080,"d","c",2870,9,2012,0,NA,NA,""
1081,"d","c",4880,8,2010,1,18,2014,"Jan,Apr,Jul,Oct"
1082,"a","c",15320,3,2011,1,14,2013,"Feb,May,Aug,Nov"
1083,"d","a",8880,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
1084,"a","a",340,10,2000,1,31,2013,"Feb,May,Aug,Nov"
1085,"c","a",1140,5,2011,1,14,2012,"Mar,Jun,Sept,Dec"
1086,"a","c",25360,10,2014,0,NA,NA,""
1087,"d","a",8740,NA,NA,1,37,2009,"Feb,May,Aug,Nov"
1088,"a","c",19780,6,2008,0,NA,NA,""
1089,"a","c",3970,9,2009,0,NA,NA,""
1090,"a","a",660,4,2013,1,40,2014,"Jan,Apr,Jul,Oct"
1091,"d","c",2870,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec"
1092,"a","a",13090,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
1093,"c","a",1980,4,2009,0,NA,NA,""
1094,"a","a",22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
1095,"a","c",210,9,2012,0,NA,NA,""
1096,"c","c",1540,NA,NA,1,1,2012,"Jan,Apr,Jul,Oct"
1097,"a","a",1560,9,2003,0,NA,NA,""
1098,"a","a",1200,12,2011,1,31,2013,"Jan,Apr,Jul,Oct"
1099,"c","c",3290,1,2007,1,5,2013,"Feb,May,Aug,Nov"
1100,"a","c",9260,NA,NA,0,NA,NA,""
1101,"a","c",1680,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
1102,"c","a",1670,7,2015,0,NA,NA,""
1103,"d","c",1460,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
1104,"d","a",7860,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
1105,"a","c",2100,2,2010,0,NA,NA,""
1106,"a","a",4140,9,2012,1,18,2011,"Feb,May,Aug,Nov"
1107,"d","a",6540,12,2007,0,NA,NA,""
1108,"c","c",490,11,2002,0,NA,NA,""
1109,"c","c",460,NA,NA,0,NA,NA,""
1110,"d","c",7930,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
1111,"d","a",4370,NA,NA,0,NA,NA,""
1112,"a","c",2630,9,2012,0,NA,NA,""
1113,"d","c",7890,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
1114,"a","a",1090,7,2002,0,NA,NA,""
1115,"d","a",7660,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
